tmdb_collection_id,collection_name
135489,Wishmaster Collection
725456,American Poltergeist
691535,KM 31 - Colección
133923,Zombi Collection
91799,Tremors Collection
996524,Meathook Massacre Collection
20725,Raaz Collection
161766,Gamera (Showa) Collection
704438,Barbie & Kendra Collection
107725,Creepshow Collection
105995,Anaconda Collection
383032,Honto Ni Atta! Noroi no Video
662064,Ryo Moroe Horror Series
650373,American Guinea Pig Collection
234835,Camp Blood Collection
87536,Warlock Collection
10893,Critters Collection
97237,Faces of Death Collection
519018,Blood Feast Collection
362294,The Criminals Collection
115762,AVP Collection
884885,放送禁止
984200,Carnal Collection
47629,Mr. Boogedy Collection
803249,When They Cry Collection
107949,Puppet Master Collection
230161,Fright Night (Reboot) Collection
870054,Caesar and Otto Collection
256296,"Silent Night, Deadly Night Collection"
91361,Halloween Collection
219691,I Spit on Your Grave Collection
568449,Zombie Massacre Collection
691937,Siren: Erotic Ghost
921710,The Blackwell Ghost Collection
9887,Species Collection
983933,Boggy Creek Collection
900879,Prema Katha Chitram Collection
123256,Pumpkinhead Collection
721280,Suicide Club Collection
138965,The Mummy (Hammer) Collection
499070,Project Itoh Collection
991508,怪谈·新耳袋(系列)
297371,Reeker Collection
9735,Friday the 13th Collection
96937,Boogeyman Collection
607112,Hell House LLC Collection
488990,Creep Collection
744694,Terror Within Collection
490673,Kurt Josef Wagle Collection
534180,Dead River Collection
529534,Sijjin Collection
856206,Shrill Cries Collection
12263,The Exorcist Collection
10919,The Omen Collection
108170,The Blind Dead Collection
242275,Violent Shit Collection
128118,Deadlands Collection
397842,The Amityville Collection
861207,The Executioner collection
674522,Pee Nak Collection
553902,True North Collection
1002892,Teito Monogatari Collection
554677,The Kolchak Collection
1960,Evil Dead Collection
174218,The Howling Collection
527950,"Shake, Rattle & Roll Collection"
764799,A Heist With Markiplier Collection
203029,Witchcraft Collection
415694,Harihar Nagar  Collection
385386,Parasyte Collection
680942,青鬼（系列）
403643,Troublesome Night Collection
98462,Fu Manchu (Christopher Lee) Collection
207621,V/H/S Collection
1021155,Maneater Series
124935,The Lawnmower Man Collection
804307,WICCA Series
868672,The Three Mothers Collection
532736,Countess Dracula Collection
955786,Carved Collection
410999,Day Dream
303851,The Bloodthirsty Trilogy
52760,Urban Legend Collection
552742,Oh My Ghost Collection
8917,Hellraiser Collection
385250,Black Magic
139394,Tomie Collection
530064,The Shining Collection
86578,Hostel Collection
973191,Facez of Death 2000
982913,The Haunted Collection
559735,Don't Hug Me I'm Scared Collection
785960,The First Wave
734045,Haunted School Collection
609452,Aakashaganga Collection
709993,My Annabelle Creation Shorts
724328,Night of the Living Dead 3D - Collection
94899,Jeepers Creepers Collection
666337,The Boy Collection
723282,Antisocial Collection
698905,My Super Psycho Sweet 16 Collection
96671,The Human Centipede Collection
479002,Gogol Collection
294226,The Dead Collection
940323,Village Collection
688278,666 Collection
264434,Demonic Toys Collection
122017,Screamers Collection
781465,Bloody Christmas
315689,Stop the Bitch Campaign
625654,Zoombies Collection
439409,Fear Collection
166924,Fuuin Eizou
124901,Hatchet Collection
719676,01:00 AM	 Collection
910708,Titisan Setan
793272,Angel Guts Collection
605919,Feeders Collection
182923,Tetsuo Collection
998794,Tam Canh
723660,Crossclub
256297,It's Alive Collection
86113,Open Water Collection
143757,Stir of Echoes Collection
746434,The Damned Collection
429234,Trilogia Zé do Caixão
533711,WolfCop Collection
739920,The House of Pop Collection
135501,976-EVIL Collection
228446,Insidious Collection
635922,47 Meters Down Collection
497534,The Invoking Collection
327871,Count Yorga Collection
19285,Leprechaun Collection
906341,Yami Douga Collection
10721,Mimic Collection
8864,Final Destination Collection
256322,The Purge Collection
1565,28 Days/Weeks Later Collection
985233,Horror House Highway Collection
326849,Mostly Ghostly Collection
3601,I Know What You Did Last Summer Collection
478328,The Houses October Built Collection
10924,From Dusk Till Dawn Collection
192541,The Twins Effect Collection
128123,Dark Rising Collection
744915,The Curse Collection (1987-1991)
184225,Todd McFarlane's Spawn
589061,Queen of Spades Collection
813157,Americanized Godzilla Collection
797576,The Reef Collection
726515,Strangled Collection
815182,Şeytan-ı Racim [Seri]
101471,Return of the Living Dead Collection
534272,Hideshi Hino's Theater of Horror
538387,Malevolence Collection
1032216,Baby Oopsie Collection
168545,Sometimes They Come Back Collection
974282,Demon Beast Collection
745329,... Blood Collection
510834,The Aztec Mummy Collection
221537,Creature From The Black Lagoon Collection
761395,The Bare Wench Project Collection
449511,Ratten - Collection
821702,Bad Ben Collection
422193,The Blob Collection
432022,Horror Stories Collection
262086,The Brotherhood Collection
123720,Frankenstein (Hammer) Collection
1972,Ju-on Collection
1020416,Easter Bunny Massacre Collection
610474,Trilogy of Lust Collection
749405,The Killer Eye Collection
123724,Dracula (Hammer) Collection
471259,1313 Collection
696965,French Blood Anthology
798471,Kutsal Damacana [Seri]
681955,Mirror Mirror Collection
727761,Terrifier Collection
1001670,Summoning Bloody Mary Collection
974279,Angel of Darkness (Animated) Collection
150374,All Night Long Collection
844181,Daninsky Werewolf Collection
155421,Mr. Vampire Collection
375886,Willard Collection
177675,The Last Exorcism Collection
498578,Muni Collection
74473,The Valdemar Legacy Collector
528005,Ang Panday (Fernando Poe Jr. series)
870234,Megalodon Collection
966720,山村老尸（系列）
133922,Zombie Bloodbath Collection
649306,Bloody Chainsaw Girl Collection
381396,Bats Collection
906438,Makmum
268103,Zombie Planet Trilogy
786156,Spirit of the Glass Collection
693434,The Homejack Collection
989890,Operation Pink Squad Collections
521226,A Quiet Place Collection
826725,Meet the Blacks Collection
41437,Paranormal Activity Collection
123255,Prom Night Collection
526380,Happy Death Day Collection
123218,Troll Collection
863179,Head of the Family
357173,Sinister Collection
140758,Decoys Collection
514732,The Robo-Warrior Trilogy
828555,表哥到（系列）
928238,Lesson of the Evil Collection
718111,Devil Hunter Yohko
997739,Suzzanna New Generation Collection
656,Saw Collection
361946,Rumic World
138974,The Sorority House Massacre Collection
494838,2-Headed Shark Attack Collection
800116,Survive Girls
201930,Blacula Collection
97307,BloodRayne Collection
652379,Sorority Babes Collection
479692,Robert Collection
116847,Dr. Phibes Collection
505857,The Tag-Along Collection
169740,The Haunting in Connecticut Collection
721992,Project Shadowchaser Collection
1002035,Sivi Collection
596978,Erotic Witch Project Collection
98036,Re-Animator Collection
389867,Shark Attack
891174,Nobody Sleeps in the Woods Tonight Collection
160598,Brigada Z Collection
531675,The Jennifer Found Footage Collection
398801,The Haunted Cop Shop Collection
758369,The Craft Collection
250878,Necromancer
102782,House Collection
297501,I'm A Zombie Collection
248339,House on Haunted Hill Collection
957890,Jurassic Shark Collection
487765,The Strangers Collection
723378,Manos Collection
432207,The Sex Files
762458,Scooby-Doo! Zombie Island Collection
47983,Killer Tomatoes! Collection
774027,DOKURO Collection
774679,Gwilliam Collection
571825,Kuutamosonaatti
175858,Hidden Collection
634390,Doom Collection
636165,Cementerio General Collection
44913,Ghoulies Collection
406817,Horror High Collection
47391,Sleepaway Camp Collection
840699,Krai Thong Collection
385709,Tales From The Dark
98580,Candyman Collection
784043,Matinee Idol Collection
721889,Watchers Collection
115822,Dracula 2000 Collection
430201,Demons Collection
742536,The Meg Collection
32135,The Toxic Avenger Collection
8918,The Hills Have Eyes (Reboot) Collection
694606,The Rocky Horror Picture Show Collection
442195,All Hallow's Eve Collection
762822,Filthy McNasty Collection
881468,Fear PHarm Collection
643610,Bunnyman Collection
142547,Kadokawa Mystery & Horror Tales
447312,Cottontail Zombies Collection
103291,Subspecies Collection
991942,The Sacred Riana - Collection
286038,Dead Snow Collection
750050,Don't Fuck in the Woods Collection
980777,The Bad Nun / Satanic Nun Collection
123249,"Ilsa, She Wolf of the SS Collection"
518165,Deep Blue Sea Collection
535121,Halloween Nightmare Collection
600361,Monster X Collection
980780,Doctor Carver / Conjuring the Plastic Surgeon Collection
122952,Vampire Hunter D Collection
977824,Bhool Bhulaiyaa Collection
371950,Dark Woods Collection
652696,Crocodile Collection
374384,Stepford Collection
476063,Guinea Pig Collection
1026936,Evil (To Kako) Collection
91660,30 Days of Night Collection
56005,Dead Space - Collection
114915,Xtro Collection
554930,The Thinning Collection
997723,Suster Keramas Collection
595390,3 A.M. Collection
210575,Parallel Lines
126209,Halloween (Rob Zombie Series) Collection
921313,South of 8 Collection
149704,Alone in the Dark Collection
261590,Living Dead Collection
685157,Mick Travis Collection
363386,Rape Zombie Series
123932,Quarantine Collection
651960,Death Bell Collection
86112,Vacancy Collection
960149,Karnstein (Hammer) Trilogy
117952,The Dentist Collection
254636,Maniac Cop Collection
585662,The Lost World Collection
690952,The Birds Collection
387086,The Warrior Collection
256484,Carnosaur Collection
971395,Pluto it is no Longer a Planet Collection
685489,The Unnamable Collection
745180,the chasing world
111751,Texas Chainsaw Massacre Collection
413102,The Hospital Collection
627527,Alien Factor Collection
119240,The Joys of Torture Collection
726337,Unseen Evil Collection
313086,The Conjuring Collection
899693,Hotel Inferno Collection
802549,Future Amazons Series
997721,Pulau Hantu Collection
203178,Jack Frost Collection
564857,Pretham Collection
768980,Mommy Collection
267922,The Hills Have Eyes (Original) Collection
998652,Bloodthirst Collection
853309,Dream Hunter Rem Collection
8091,Alien Collection
944437,Survival of the Dead Collection
294918,Paranormal Investigations Collection
201576,Cabin Fever Collection
165369,The Collector Collection
780175,Amateur Porn Star Killer Collection
136218,Night of the Demons Collection
903979,Axt Collection
923500,Gates of Hell Trilogy
460567,Death Scenes Collection
587072,Buppah Ratree Collection
1026934,Meat Market Collection
104716,Basket Case Trilogy
825565,Zoom Up Collection
840177,Door Collection
519564,Las Leyendas Collection
558854,Howard Lovecraft Collection
84785,La trilogie de la mort – Nacho Cerda
509631,Haunted Road Collection
995186,Clown Motel Collection
385645,Shaolin vs. Evil Dead Collection
115142,Tales from the Crypt Collection
820742,Dr. Orloff Collection
528034,Grizzly Collection
580327,Head Cases
546378,Corpse Prison Collection
