tmdb_id,id_genre
84994,1
84994,2
1518962,1
1518962,3
1518962,4
1518962,5
1518962,6
234941,5
234941,1
1197137,1
1197137,4
628446,7
628446,1
29643,7
29643,1
294816,7
294816,1
51831,1
51831,8
51831,9
292315,1
865355,7
865355,1
5730,8
5730,1
5730,10
1376847,11
1376847,1
1036595,1
420241,9
420241,8
420241,7
420241,1
420241,12
438736,1
438736,9
812788,4
812788,1
812788,12
812788,13
24091,5
24091,1
24091,4
505669,1
505669,5
1250800,4
1250800,1
368761,1
1373921,1
1373921,7
1373921,4
1308975,1
67162,14
67162,7
67162,1
1251973,1
1251973,8
769616,1
769616,9
769616,15
769616,4
114604,1
575466,1
160882,12
160882,4
160882,1
853636,8
853636,4
853636,1
336455,5
336455,1
336455,16
191740,1
66127,1
66127,16
1055786,4
1055786,1
1055786,12
78428,1
78428,9
587204,1
587204,5
331647,1
828305,12
828305,4
828305,1
828305,5
828305,3
395872,7
395872,1
366551,1
1340332,12
1340332,4
1340332,1
28350,7
28350,16
28350,1
484922,7
484922,1
385309,4
385309,10
385309,1
385309,12
452405,1
362507,7
362507,1
543446,1
543446,12
543446,9
258942,5
258942,1
16009,5
16009,6
16009,1
215861,1
231188,1
231188,4
633802,1
417800,12
417800,1
417800,6
120189,4
120189,6
120189,1
488464,1
488464,4
230077,9
230077,5
230077,1
772288,1
772288,7
1173762,12
1173762,1
356760,1
39928,1
39928,4
99348,5
99348,1
121519,7
121519,1
41534,1
19351,7
19351,1
417656,8
417656,1
123331,1
123331,4
1036684,1
1036684,5
475603,1
1341502,5
1341502,1
1341502,12
461775,12
461775,4
461775,1
461775,16
655363,1
655363,12
655363,4
785086,1
85237,1
85237,16
12759,1
40065,4
40065,1
1072928,12
1072928,4
1072928,1
586467,1
1551931,1
1551931,7
1551931,11
1551931,5
77022,14
77022,7
77022,1
458002,1
458002,5
172155,1
9592,5
9592,1
9592,4
1290213,7
1290213,1
1100982,7
1100982,1
1120316,12
1120316,1
284303,1
284303,12
284303,4
19310,1
19310,7
19310,16
645510,1
645510,8
3347,7
3347,1
1139223,5
1139223,1
1139223,12
26472,1
26472,4
26472,8
777733,1
777733,7
205903,1
781331,1
12685,8
12685,13
12685,9
12685,1
362028,1
