uid,id_tertiaire,title,original_title,release_date,budget,revenue,popularity,vote_average,vote_count,overview,tagline,director_id,name
19995,avatar_2009,Avatar,Avatar,2009-12-10,237000000.0,2787965087.0,150,7.2,11800,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Enter the World of Pandora.,4762,James Cameron
285,pirates_of_the_caribbean_at_worlds_end_2007,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,2007-05-19,300000000.0,961000000.0,139,6.9,4500,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","At the end of the world, the adventure begins.",4763,Gore Verbinski
206647,spectre_2015,Spectre,Spectre,2015-10-26,245000000.0,880674609.0,107,6.3,4466,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",A Plan No One Escapes,4764,Sam Mendes
49026,the_dark_knight_rises_2012,The Dark Knight Rises,The Dark Knight Rises,2012-07-16,250000000.0,1084939099.0,112,7.6,9106,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",The Legend Ends,4765,Christopher Nolan
49529,john_carter_2012,John Carter,John Carter,2012-03-07,260000000.0,284139100.0,43,6.1,2124,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","Lost in our world, found in another.",4766,Andrew Stanton
559,spider_man_3_2007,Spider-Man 3,Spider-Man 3,2007-05-01,258000000.0,890871626.0,115,5.9,3576,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",The battle within.,4767,Sam Raimi
38757,tangled_2010,Tangled,Tangled,2010-11-24,260000000.0,591794936.0,48,7.4,3330,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",They're taking adventure to new lengths.,4768,Byron Howard
99861,avengers_age_of_ultron_2015,Avengers: Age of Ultron,Avengers: Age of Ultron,2015-04-22,280000000.0,1405403694.0,134,7.3,6767,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",A New Age Has Come.,4769,Joss Whedon
767,harry_potter_and_the_half_blood_prince_2009,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,2009-07-07,250000000.0,933959197.0,98,7.4,5293,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",Dark Secrets Revealed,4770,David Yates
209112,batman_v_superman_dawn_of_justice_2016,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016-03-23,250000000.0,873260194.0,155,5.7,7004,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Justice or revenge,4771,Zack Snyder
1452,superman_returns_2006,Superman Returns,Superman Returns,2006-06-28,270000000.0,391081192.0,57,5.4,1400,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",,4772,Bryan Singer
10764,quantum_of_solace_2008,Quantum of Solace,Quantum of Solace,2008-10-30,200000000.0,586090727.0,107,6.1,2965,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","For love, for hate, for justice, for revenge.",4773,Marc Forster
58,pirates_of_the_caribbean_dead_mans_chest_2006,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,200000000.0,1065659812.0,145,7.0,5246,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Jack is back!,4763,Gore Verbinski
