id_tertiaire,title,year,url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
viral_2016,Viral,2016,https://www.rottentomatoes.com/m/viral_2016,56.0,29.0,
president_wolfman_2012,President Wolfman,2012,https://www.rottentomatoes.com/m/president_wolfman_2012,,,
crush_2009,Crush,2009,https://www.rottentomatoes.com/m/crush_2009,,,
serpent_2017,Serpent,2017,https://www.rottentomatoes.com/m/serpent_2017,,33.0,
savage_2011,Savage,2011,https://www.rottentomatoes.com/m/savage_2011,,,
haunted_2017,Haunted,2017,https://www.rottentomatoes.com/m/haunted_2017,,,
slasher_2014,Slasher,2014,https://www.rottentomatoes.com/m/slasher_2014,,,
black_2024,Black,2024,https://www.rottentomatoes.com/m/black_2024,,,
good_night_2013,Good Night,2013,https://www.rottentomatoes.com/m/good_night_2013,,50.0,
post_mortem_2020,Post Mortem,2020,https://www.rottentomatoes.com/m/post_mortem_2020,89.0,50.0,
light_2024,Light,2024,https://www.rottentomatoes.com/m/light_2024,,22.0,
the_nest_2025,The Nest,2025,https://www.rottentomatoes.com/m/the_nest_2025,,,
a_thousand_one_nights_1969,A Thousand & One Nights,1969,https://www.rottentomatoes.com/m/a_thousand_and_one_nights_1969,,,
ice_cream_2014,Ice Cream,2014,https://www.rottentomatoes.com/m/ice_cream_2014,,,
the_movie_2022,The Movie,2022,https://www.rottentomatoes.com/m/the_movie_2022,40.0,83.0,
the_house_2023,The House,2023,https://www.rottentomatoes.com/m/the_house_2023,,,
rise_of_the_zombies_2012,Rise of the Zombies,2012,https://www.rottentomatoes.com/m/rise_of_the_zombies_2012,,15.0,
restless_2024,Restless,2024,https://www.rottentomatoes.com/m/restless_2024,94.0,,
condemned_2015,Condemned,2015,https://www.rottentomatoes.com/m/condemned_2015,25.0,28.0,
vision_2018,Vision,2018,https://www.rottentomatoes.com/m/vision_2018,38.0,36.0,
lilith_2018,Lilith,2018,https://www.rottentomatoes.com/m/lilith_2018,,,
the_stranger_2022,The Stranger,2022,https://www.rottentomatoes.com/m/the_stranger_2022,92.0,74.0,"A masterful blend of genre elements, The Stranger brings a tautly told mystery to life with simmering tension and a pair of outstanding lead performances."
wraith_2017,Wraith,2017,https://www.rottentomatoes.com/m/wraith_2017,,29.0,
reflection_2024,Reflection,2024,https://www.rottentomatoes.com/m/reflection_2024,,,
suspiria_2018,Suspiria,2018,https://www.rottentomatoes.com/m/suspiria_2018,65.0,72.0,"Suspiria attacks heady themes with garish vigor, offering a viewing experience that's daringly confrontational - and definitely not for everyone."
dead_again_in_tombstone_2017,Dead Again in Tombstone,2017,https://www.rottentomatoes.com/m/dead_again_in_tombstone_2017,,31.0,
splinter_2021,Splinter,2021,https://www.rottentomatoes.com/m/splinter_2022,,,
stigma_1977,Stigma,1977,https://www.rottentomatoes.com/m/stigma_1977,,,
pledge_2019,Pledge,2019,https://www.rottentomatoes.com/m/pledge_2019,76.0,63.0,"Pledge leaves a certain amount of potential untapped in its extreme take on collegiate hazing, but the end result is still well-executed enough to be worth a watch."
nightmare_2025,Nightmare,2025,https://www.rottentomatoes.com/m/nightmare_2025,,,
the_bride_2025,The Bride,2025,https://www.rottentomatoes.com/m/the_bride_2025,,,
psychopaths_2017,Psychopaths,2017,https://www.rottentomatoes.com/m/psychopaths_2017,24.0,19.0,
end_trip_2018,End Trip,2018,https://www.rottentomatoes.com/m/end_trip_2018,,,
dont_sleep_2017,Don't Sleep,2017,https://www.rottentomatoes.com/m/dont_sleep_2017,10.0,23.0,
the_clearing_2020,The Clearing,2020,https://www.rottentomatoes.com/m/the_clearing_2020,,44.0,
into_the_dark_my_valentine_2020,Into the Dark: My Valentine,2020,https://www.rottentomatoes.com/m/my_valentine_2020,,33.0,
deep_water_2026,Deep Water,2026,https://www.rottentomatoes.com/m/deep_water_2026,,,
the_dinner_party_2021,The Dinner Party,2021,https://www.rottentomatoes.com/m/the_dinner_party_2020,43.0,73.0,
livescream_2022,Livescream,2022,https://www.rottentomatoes.com/m/livescream_2022,,,
sisters_2021,Sisters,2021,https://www.rottentomatoes.com/m/sisters_2021,,,
unfinished_business_2023,Unfinished Business,2023,https://www.rottentomatoes.com/m/unfinished_business_2023,,,
snowbound_2017,Snowbound,2017,https://www.rottentomatoes.com/m/snowbound_2017,,12.0,
echo_2025,Echo,2025,https://www.rottentomatoes.com/m/echo_2025,,,
mother_2016,Mother,2016,https://www.rottentomatoes.com/m/mother_2016,,,
the_exchange_2021,The Exchange,2021,https://www.rottentomatoes.com/m/the_exchange_2021,65.0,71.0,
the_closet_2020,The Closet,2020,https://www.rottentomatoes.com/m/the_closet_2020,89.0,57.0,
sins_of_the_father_2004,Sins of the Father,2004,https://www.rottentomatoes.com/m/sins_of_the_father-2004,,,
the_river_2022,The River,2022,https://www.rottentomatoes.com/m/the_river_2022,,,
a_house_in_jerusalem_2023,A House in Jerusalem,2023,https://www.rottentomatoes.com/m/a_house_in_jerusalem_2023,75.0,,
the_inheritor_1990,The Inheritor,1990,https://www.rottentomatoes.com/m/the_inheritor_1990,,,
1313_ufo_invasion_2011,1313: UFO Invasion,2011,https://www.rottentomatoes.com/m/1313_ufo_invasion_2012,,16.0,
the_gift_2020,The Gift,2020,https://www.rottentomatoes.com/m/the_gift_2020,,,
the_dead_dont_die_2019,The Dead Don't Die,2019,https://www.rottentomatoes.com/m/the_dead_dont_die_2019,55.0,38.0,"The Dead Don't Die dabbles with tones and themes to varying degrees of success, but sharp wit and a strong cast make this a zom-com with enough brains to consume."
cursed_2023,Cursed,2023,https://www.rottentomatoes.com/m/cursed_2023,,,
dead_girls_2014,Dead Girls,2014,https://www.rottentomatoes.com/m/dead_girls_2014,,17.0,
no_way_out_2020,No Way Out,2020,https://www.rottentomatoes.com/m/no_way_out_2020,,,
ashes_2010,Ashes,2010,https://www.rottentomatoes.com/m/ashes_2010,,50.0,
the_raven_1915,The Raven,1915,https://www.rottentomatoes.com/m/the_raven_1915,,,
the_package_2015,The Package,2015,https://www.rottentomatoes.com/m/the_package_2015,,,
the_retreat_2021,The Retreat,2021,https://www.rottentomatoes.com/m/the_retreat_2021,77.0,43.0,"It wields its horror elements more effectively than its social themes, but The Retreat is a wilderness slasher that gore-hungry viewers should savor."
maneater_2009,Maneater,2009,https://www.rottentomatoes.com/m/maneater_2009,,,
the_bride_2017,The Bride,2017,https://www.rottentomatoes.com/m/the_bride_2017,,16.0,
one_remains_2019,One Remains,2019,https://www.rottentomatoes.com/m/one_remains_2019,,,
hell_hole_2024,Hell Hole,2024,https://www.rottentomatoes.com/m/hell_hole_2024,83.0,31.0,"Hell Hole pokes much needed life into an aging genre, going back to basics and delivering the gory goods."
hysteria_1997,Hysteria,1997,https://www.rottentomatoes.com/m/hysteria_1997,,,
i_see_you_2019,I See You,2019,https://www.rottentomatoes.com/m/i_see_you_2019,73.0,74.0,"I See You gets tripped up on its own narrative contortions, but a solid cast and an effective blend of scares and suspense make this slow-building mystery worth watching."
vampz_2019,Vampz!,2019,https://www.rottentomatoes.com/m/vampz_2019,,,
fright_night_2011,Fright Night,2011,https://www.rottentomatoes.com/m/fright_night_2011,72.0,59.0,"It may not have been necessary to remake the 1985 cult classic, but the new Fright Night benefits from terrific performances by Colin Farrell and David Tennant -- and it's smart, funny, and stylishly gory to boot."
underground_2024,Underground,2024,https://www.rottentomatoes.com/m/underground_2024,,,
dont_look_up_2020,Don't Look Up,2020,https://www.rottentomatoes.com/m/dont_look_up_2020,,40.0,
the_curse_2021,The Curse,2021,https://www.rottentomatoes.com/m/the_curse_2021,,,
polaroid_2019,Polaroid,2019,https://www.rottentomatoes.com/m/polaroid_2019,,29.0,
outside_2024,Outside,2024,https://www.rottentomatoes.com/m/outside_2024,80.0,52.0,
hush_2015,Hush,2015,https://www.rottentomatoes.com/m/hush_2015,,,
dr_jekyll_and_mr_hyde_1920,Dr. Jekyll and Mr. Hyde,1920,https://www.rottentomatoes.com/m/dr_jekyll_and_mr_hyde_1920,,,
mama_bear_2024,Mama Bear,2024,https://www.rottentomatoes.com/m/mama_bear_2024,,,
dolls_2019,Dolls,2019,https://www.rottentomatoes.com/m/dolls_2019,,29.0,
superstition_2001,Superstition,2001,https://www.rottentomatoes.com/m/superstition_2001,,28.0,
alpha_girls_2012,Alpha Girls,2012,https://www.rottentomatoes.com/m/alpha_girls_2013,,20.0,
trickster_2018,Trickster,2018,https://www.rottentomatoes.com/m/trickster_2018,,,
self_storage_2013,Self Storage,2013,https://www.rottentomatoes.com/m/self_storage_2013,,5.0,
