director_id,name
4762,James Cameron
4763,Gore Verbinski
4764,Sam Mendes
4765,Christopher Nolan
4766,Andrew Stanton
4767,Sam Raimi
4768,Byron Howard
4769,Joss Whedon
4770,David Yates
4771,Zack Snyder
4772,Bryan Singer
4773,Marc Forster
4774,Andrew Adamson
4775,Rob Marshall
4776,Barry Sonnenfeld
4777,Peter Jackson
4778,Marc Webb
4779,Ridley Scott
4780,Chris Weitz
4781,Anthony Russo
4782,Peter Berg
4783,Colin Trevorrow
4784,Shane Black
4785,Tim Burton
4786,Brett Ratner
4787,Dan Scanlon
4788,Michael Bay
4789,Joseph Kosinski
4790,John Lasseter
4791,Martin Campbell
4792,Lee Unkrich
4793,McG
4794,James Wan
4795,J.J. Abrams
4796,Baz Luhrmann
4797,Mike Newell
4798,Guillermo del Toro
4799,Steven Spielberg
4800,Peter Sohn
4801,Brenda Chapman
4802,Justin Lin
4803,Roland Emmerich
4804,Robert Zemeckis
4805,Lilly Wachowski
4806,Pete Docter
4807,Conrad Vernon
4808,Jon Favreau
4809,Martin Scorsese
4810,Rob Cohen
4811,David Ayer
4812,Tom Shadyac
4813,Doug Liman
4814,Kevin Reynolds
4815,Stephen Sommers
4816,Rupert Sanders
4817,Robert Stromberg
4818,Matt Reeves
4819,Roland Joffé
4820,Carl Rinsch
4821,Mike Mitchell
4822,Brad Bird
4823,Chris Williams
4824,Rich Moore
4825,Chris Sanders
4826,Jonathan Mostow
4827,James Gunn
4828,Hideaki Anno
4829,David Fincher
4830,Matthew Vaughn
4831,Francis Lawrence
4832,Jon Turteltaub
4833,Wolfgang Petersen
4834,James Bobin
4835,Chris Miller
4836,Duncan Jones
4837,Alan Taylor
4838,Michael Apted
4839,Oliver Stone
4840,Jan Pinkava
4841,Eric Darnell
4842,Shawn Levy
4843,Gavin Hood
4844,Chris Buck
4845,George Miller
4846,Ron Howard
4847,Kenneth Branagh
4848,Hoyt Yeatman
4849,Jonathan Liebesman
4850,Christopher McQuarrie
4851,Joe Johnston
4852,Steve Hickner
4853,Jennifer Yuh Nelson
4854,M. Night Shyamalan
4855,Simon Wells
4856,David Bowers
4857,Joe Wright
4858,Rob Minkoff
4859,Lee Tamahori
4860,Paul Feig
4861,Peter Ramsey
4862,Dean Parisot
4863,Edward Zwick
4864,Dean DeBlois
4865,Alex Proyas
4866,Richard Donner
4867,Ang Lee
4868,Jon M. Chu
4869,Breck Eisner
4870,Hironobu Sakaguchi
4871,Peter Weir
4872,Bill Condon
4873,Louis Leterrier
4874,Alejandro González Iñárritu
4875,David Soren
4876,Paul Greengrass
4877,Mark Osborne
4878,Peyton Reed
4879,Tim Johnson
4880,Phillip Noyce
4881,Darren Aronofsky
4882,Alfonso Cuarón
4883,Ralph Zondag
4884,Tom McGrath
4885,Chris Columbus
4886,Robert Schwentke
4887,Carlos Saldanha
4888,Guy Ritchie
4889,Paul Verhoeven
4890,John McTiernan
4891,Tony Gilroy
4892,Joel Schumacher
4893,John Woo
4894,Tim Story
4895,Mark Steven Johnson
4896,Neill Blomkamp
4897,David Twohy
4898,José Padilha
4899,James L. Brooks
4900,James Mangold
4901,George Lucas
4902,Thomas Langmann
4903,Cedric Nicolas-Troyan
4904,Roger Donaldson
4905,Dave Green
4906,Josh Trank
4907,Brad Peyton
4908,Roger Spottiswoode
4909,Steven Soderbergh
4910,Rob Letterman
4911,Michel Gondry
4912,Noam Murro
4913,Raja Gosnell
4914,Will Finn
4915,Jan de Bont
4916,Len Wiseman
4917,Frank Coraci
4918,Michael Mann
4919,Bo Welch
4920,Ron Clements
4921,Peter Chelsom
4922,Dominic Sena
4923,Tony Scott
4924,Paul Weitz
4925,Adam McKay
4926,Chuck Russell
4927,Quentin Tarantino
4928,Gary Trousdale
4929,Mark Dindal
4930,Simon West
4931,Stefen Fangmeier
4932,Spike Jonze
4933,Chris Wedge
4934,Florian Henckel von Donnersmarck
4935,Peter Hyams
4936,Tom Tykwer
4937,Pitof
4938,Brad Silberling
4939,Patrick Hughes
4940,Ericson Core
4941,Lawrence Guterman
4942,Ron Underwood
4943,Steve Martino
4944,David Mamet
4945,Zhang Yimou
4946,Ash Brannon
4947,Frank Oz
4948,Jay Roach
4949,Luc Besson
4950,Michael Patrick King
4951,Don Michael Paul
4952,Sergei Bodrov
4953,Wally Pfister
4954,Rupert Wyatt
4955,Mark Waters
4956,John Moore
4957,John Lee Hancock
4958,Renny Harlin
4959,Phil Lord
4960,Ben Stiller
4961,Tony Bancroft
4962,Timur Bekmambetov
4963,Walt Becker
4964,Dennis Dugan
4965,Sydney Pollack
4966,Thor Freudenthal
4967,Brian De Palma
4968,Mick Jackson
4969,Alan J. Pakula
4970,Kathryn Bigelow
4971,John Milius
4972,Andrei Konchalovsky
4973,Gary Ross
4974,Paul W.S. Anderson
4975,Genndy Tartakovsky
4976,Kevin Lima
4977,Daniel Espinosa
4978,Nancy Meyers
4979,Jill Culton
4980,Neil Burger
4981,Jean-Jacques Annaud
4982,Barry Cook
4983,Martin Brest
4984,Andrew Davis
4985,Bob Fosse
4986,Tarsem Singh
4987,Edgar Wright
4988,Jon Amiel
4989,Peter Segal
4990,Pete Travis
4991,George A. Romero
4992,Sylvester Stallone
4993,Todd Phillips
4994,Karey Kirkpatrick
4995,Gary Winick
4996,Mimi Leder
4997,Seth Gordon
4998,Adam Shankman
4999,D.J. Caruso
5000,Anthony Minghella
5001,Albert Hughes
5002,Les Mayfield
5003,Joe Pytka
5004,Scott Derrickson
5005,Ivan Reitman
5006,Eric Brevig
5007,Kelly Asbury
5008,Stephen Hopkins
5009,Jonathan Demme
5010,Henry Jaglom
5011,James Algar
5012,Vincent Ward
5013,Steven Brill
5014,Terry Gilliam
5015,Lucile Hadzihalilovic
5016,Roger Christian
5017,Joe Dante
5018,Kevin Costner
5019,Antony Hoffman
5020,Jacques Perrin
5021,Andrés Couturier
5022,Roger Allers
5023,Cody Cameron
5024,John Singleton
5025,Oliver Hirschbiegel
5026,Des McAnuff
5027,Chris Renaud
5028,Stephen Norrington
5029,Pierre Coffin
5030,David Kellogg
5031,Mike Nichols
5032,Vicky Jenson
5033,F. Gary Gray
5034,Antoine Fuqua
5035,Robert Luketic
5036,Gil Kenan
5037,Barry Levinson
5038,Jerry Zucker
5039,Andy Tennant
5040,Florent-Emilio Siri
5041,Gary Goldman
5042,Ron Shelton
5043,Àlex Pastor
5044,Henry Selick
5045,Kyle Balda
5046,Fergal Reilly
5047,Judd Apatow
5048,Steve Carr
5049,Mel Gibson
5050,David Silverman
5051,Frank Darabont
5052,Betty Thomas
5053,Garry Marshall
5054,Paul Tibbitt
5055,Clark Johnson
5056,Cameron Crowe
5057,Randall Wallace
5058,Jonathan Frakes
5059,George Clooney
5060,Gary Shore
5061,Andrzej Bartkowiak
5062,Måns Mårlind
5063,Gregory Hoblit
5064,Gary McKendry
5065,Wych Kaosayananda
5066,Mikael Salomon
5067,Bobby Farrelly
5068,Dan St. Pierre
5069,Kerry Conran
5070,Michael Caton-Jones
5071,Mikael Håfström
5072,Phil Alden Robinson
5073,David Slade
5074,Joseph Ruben
5075,Seth MacFarlane
5076,Alejandro Amenábar
5077,Kinka Usher
5078,Craig Gillespie
5079,Rob Bowman
5080,Doug Lefler
5081,Scott Waugh
5082,Lawrence Kasdan
5083,Michael Lembeck
5084,Tom Hooper
5085,Nora Ephron
5086,Angelina Jolie
5087,Clint Eastwood
5088,Larry Charles
5089,Stanley Kubrick
5090,Will Gluck
5091,Glenn Ficarra
5092,David S. Goyer
5093,Taylor Hackford
5094,Michael Lehmann
5095,Stuart Beattie
5096,Roman Polanski
5097,Robert Rodriguez
5098,Baltasar Kormákur
5099,Daniel Lee
5100,Keenen Ivory Wayans
5101,Rob Reiner
5102,Marco Schnabel
5103,Demian Lichtenstein
5104,Josh Gordon
5105,Tim Hill
5106,David Frankel
5107,Marc Lawrence
5108,Peter Billingsley
5109,Wes Ball
5110,Ryan Murphy
5111,Robert Redford
5112,Jay Russell
5113,Kenny Ortega
5114,David McNally
5115,Brian Robbins
5116,Brian Levant
5117,Steven Zaillian
5118,Sam Fell
5119,Jon Avnet
5120,Robert Stevenhagen
5121,Kevin Donovan
5122,Geoff Murphy
5123,David O. Russell
5124,Babak Najafi
5125,Jean-Pierre Jeunet
5126,Anthony Stacchi
5127,Griffin Dunne
5128,John Pasquin
5129,Ruben Fleischer
5130,Harold Ramis
5131,Kevin Macdonald
5132,Donald Petrie
5133,Jorge Blanco
5134,Stuart Baird
5135,Joel Coen
5136,Robert Lorenz
5137,Harold Becker
5138,Scott Stewart
5139,Tony Bill
5140,Rod Lurie
5141,Walter Hill
5142,Akiva Goldsman
5143,Harald Zwart
5144,Walter Salles
5145,Iain Softley
5146,Frank Miller
