tconst,title,average_rating,num_votes
tt0001223,Frankenstein,6.4,5323
tt0007111,A Night of Horror,5.6,32
tt0010565,The Phantom Honeymoon,6.0,38
tt0011031,The Hunchback and the Dancer,6.1,91
tt0011234,Go and Get It,5.2,73
tt0012255,The Haunted House,6.9,4039
tt0017103,The Magician,6.8,947
tt0017438,The Student of Prague,6.9,884
tt0018097,London After Midnight,6.7,1582
tt0019975,Hell's Bells,6.8,992
tt0020007,The Hound of the Baskervilles,6.4,415
tt0022028,King of the Wild,5.5,151
tt0022103,The Mad Genius,6.3,868
tt0023640,The Living Dead,6.3,172
tt0023874,The Haller Case,5.7,18
tt0024266,The Crying Woman,5.6,464
tt0025169,The Ghost Walks,5.6,735
tt0026209,"Chloe, Love Is Calling You",3.4,369
tt0026972,Scrooge,6.4,3023
tt0029161,Lonesome Ghosts,7.5,3904
tt0029339,The Old Mill,7.7,5419
tt0031448,The Hound of the Baskervilles,7.4,12892
tt0032049,Tower of London,6.6,2429
tt0032116,We Want Our Mummy,7.9,720
tt0032635,The Invisible Man Returns,6.4,6109
tt0033976,Old Mother Riley's Ghosts,5.3,108
tt0035017,Carnival of Sinners,7.3,2019
tt0036104,The Leopard Man,6.7,6547
tt0036731,Cry of the Werewolf,5.4,1457
tt0036999,The Lady and the Monster,5.7,604
tt0037826,The Jade Mask,6.2,1431
tt0046066,Mesa of Lost Women,2.7,2066
tt0046547,White Witch Doctor,6.1,843
tt0046966,The Phantom of the Red House,5.1,86
tt0047245,El monstruo en la sombra,6.0,15
tt0048127,Godzilla Raids Again,5.7,9734
tt0048240,Beast Man Snow Man,5.4,354
tt0048992,The Beast of Hollow Mountain,4.1,2097
tt0049234,Fright,4.7,256
tt0050545,Invasion of the Saucer-Men,5.3,2402
tt0051151,The Vampire,6.9,1293
tt0051542,Corridors of Blood,6.4,2563
tt0051570,Earth vs. the Spider,4.7,3974
tt0051706,Grip of the Strangler,6.2,2404
tt0051874,The Crying Woman,5.8,177
tt0051937,Black Pit of Dr. M,6.8,901
tt0052131,The Return of Dracula,5.7,1753
tt0052320,The Crawling Eye,5.3,5468
tt0052530,4D Man,5.8,2429
tt0052811,The Flesh and the Fiends,6.9,2691
tt0053768,Dinosaurus!,4.9,2018
tt0054020,The Leech Woman,4.8,2484
tt0054346,The Stranglers of Bombay,6.2,1482
