id_tertiaire,url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
viral_2016,https://www.rottentomatoes.com/m/viral_2016,56.0,29.0,
serpent_2017,https://www.rottentomatoes.com/m/serpent_2017,,33.0,
good_night_2013,https://www.rottentomatoes.com/m/good_night_2013,,50.0,
post_mortem_2020,https://www.rottentomatoes.com/m/post_mortem_2020,89.0,50.0,
light_2024,https://www.rottentomatoes.com/m/light_2024,,22.0,
the_movie_2022,https://www.rottentomatoes.com/m/the_movie_2022,40.0,83.0,
rise_of_the_zombies_2012,https://www.rottentomatoes.com/m/rise_of_the_zombies_2012,,15.0,
restless_2024,https://www.rottentomatoes.com/m/restless_2024,94.0,,
condemned_2015,https://www.rottentomatoes.com/m/condemned_2015,25.0,28.0,
vision_2018,https://www.rottentomatoes.com/m/vision_2018,38.0,36.0,
the_stranger_2022,https://www.rottentomatoes.com/m/the_stranger_2022,92.0,74.0,"A masterful blend of genre elements, The Stranger brings a tautly told mystery to life with simmering tension and a pair of outstanding lead performances."
wraith_2017,https://www.rottentomatoes.com/m/wraith_2017,,29.0,
suspiria_2018,https://www.rottentomatoes.com/m/suspiria_2018,65.0,72.0,"Suspiria attacks heady themes with garish vigor, offering a viewing experience that's daringly confrontational - and definitely not for everyone."
dead_again_in_tombstone_2017,https://www.rottentomatoes.com/m/dead_again_in_tombstone_2017,,31.0,
pledge_2019,https://www.rottentomatoes.com/m/pledge_2019,76.0,63.0,"Pledge leaves a certain amount of potential untapped in its extreme take on collegiate hazing, but the end result is still well-executed enough to be worth a watch."
psychopaths_2017,https://www.rottentomatoes.com/m/psychopaths_2017,24.0,19.0,
dont_sleep_2017,https://www.rottentomatoes.com/m/dont_sleep_2017,10.0,23.0,
the_clearing_2020,https://www.rottentomatoes.com/m/the_clearing_2020,,44.0,
into_the_dark_my_valentine_2020,https://www.rottentomatoes.com/m/my_valentine_2020,,33.0,
the_dinner_party_2021,https://www.rottentomatoes.com/m/the_dinner_party_2020,43.0,73.0,
snowbound_2017,https://www.rottentomatoes.com/m/snowbound_2017,,12.0,
the_exchange_2021,https://www.rottentomatoes.com/m/the_exchange_2021,65.0,71.0,
the_closet_2020,https://www.rottentomatoes.com/m/the_closet_2020,89.0,57.0,
a_house_in_jerusalem_2023,https://www.rottentomatoes.com/m/a_house_in_jerusalem_2023,75.0,,
1313_ufo_invasion_2011,https://www.rottentomatoes.com/m/1313_ufo_invasion_2012,,16.0,
the_dead_dont_die_2019,https://www.rottentomatoes.com/m/the_dead_dont_die_2019,55.0,38.0,"The Dead Don't Die dabbles with tones and themes to varying degrees of success, but sharp wit and a strong cast make this a zom-com with enough brains to consume."
dead_girls_2014,https://www.rottentomatoes.com/m/dead_girls_2014,,17.0,
ashes_2010,https://www.rottentomatoes.com/m/ashes_2010,,50.0,
the_retreat_2021,https://www.rottentomatoes.com/m/the_retreat_2021,77.0,43.0,"It wields its horror elements more effectively than its social themes, but The Retreat is a wilderness slasher that gore-hungry viewers should savor."
the_bride_2017,https://www.rottentomatoes.com/m/the_bride_2017,,16.0,
hell_hole_2024,https://www.rottentomatoes.com/m/hell_hole_2024,83.0,31.0,"Hell Hole pokes much needed life into an aging genre, going back to basics and delivering the gory goods."
i_see_you_2019,https://www.rottentomatoes.com/m/i_see_you_2019,73.0,74.0,"I See You gets tripped up on its own narrative contortions, but a solid cast and an effective blend of scares and suspense make this slow-building mystery worth watching."
fright_night_2011,https://www.rottentomatoes.com/m/fright_night_2011,72.0,59.0,"It may not have been necessary to remake the 1985 cult classic, but the new Fright Night benefits from terrific performances by Colin Farrell and David Tennant -- and it's smart, funny, and stylishly gory to boot."
dont_look_up_2020,https://www.rottentomatoes.com/m/dont_look_up_2020,,40.0,
polaroid_2019,https://www.rottentomatoes.com/m/polaroid_2019,,29.0,
outside_2024,https://www.rottentomatoes.com/m/outside_2024,80.0,52.0,
dolls_2019,https://www.rottentomatoes.com/m/dolls_2019,,29.0,
superstition_2001,https://www.rottentomatoes.com/m/superstition_2001,,28.0,
alpha_girls_2012,https://www.rottentomatoes.com/m/alpha_girls_2013,,20.0,
self_storage_2013,https://www.rottentomatoes.com/m/self_storage_2013,,5.0,
knocking_2021,https://www.rottentomatoes.com/m/knocking_2021,80.0,56.0,"A slow-burning thriller that teeters between reality and delusion, Knocking views social issues through a blurred lens streaked with horror."
bigfoot_2012,https://www.rottentomatoes.com/m/bigfoot_2012,,11.0,
1313_wicked_stepbrother_2011,https://www.rottentomatoes.com/m/1313_wicked_stepbrother_2011,,43.0,
incarnate_2016,https://www.rottentomatoes.com/m/incarnate_2016,18.0,24.0,Incarnate can't be accused of lack of ideas -- if only any of them made sense or coalesced in any meaningful or scary way.
the_bride_2026,https://www.rottentomatoes.com/m/the_bride_2026,57.0,70.0,"Concocted with all the restraint of a mad scientist's experiment, THE BRIDE! lurches in so many different creative directions that the overall effect is both sloppy and inspired."
sacrilege_2020,https://www.rottentomatoes.com/m/sacrilege_2020,10.0,,
dark_circles_2013,https://www.rottentomatoes.com/m/dark_circles_2013,,19.0,
thale_2012,https://www.rottentomatoes.com/m/thale_2012,56.0,33.0,
the_other_side_2014,https://www.rottentomatoes.com/m/the_other_side_2013,,67.0,
invasion_2025,https://www.rottentomatoes.com/m/invasion_2024,,99.0,
forget_me_not_2010,https://www.rottentomatoes.com/m/forget_me_not_2010,69.0,56.0,
hell_2011,https://www.rottentomatoes.com/m/hell_2011,,36.0,
the_visit_2015,https://www.rottentomatoes.com/m/the_visit_2015,68.0,52.0,The Visit provides horror fans with a satisfying blend of thrills and laughs -- and also signals a welcome return to form for writer-director M. Night Shyamalan.
zombie_dawn_2011,https://www.rottentomatoes.com/m/zombie_dawn_2012,,50.0,
sea_fever_2019,https://www.rottentomatoes.com/m/sea_fever_2020,87.0,46.0,"If Sea Fever never quite heats up as much as it could, it remains an engrossing, well-acted sci-fi thriller with effective horror elements."
desert_of_blood_2006,https://www.rottentomatoes.com/m/desert_of_blood_2008,,7.0,
monday_2021,https://www.rottentomatoes.com/m/monday_2021,47.0,67.0,"Monday has attractive leads and a beautifully filmed setting, but fatal character flaws undermine the impact of this turbulent romance."
circle_2015,https://www.rottentomatoes.com/m/circle_2015,57.0,42.0,
the_snare_2017,https://www.rottentomatoes.com/m/the_snare_2017,,14.0,
temple_2017,https://www.rottentomatoes.com/m/temple_2017,30.0,10.0,
clock_2023,https://www.rottentomatoes.com/m/clock_2023,79.0,67.0,"While Clock may strain some viewers' suspension of disbelief, it's a mostly effective attempt to view reproductive pressures through a chilling horror lens."
family_2024,https://www.rottentomatoes.com/m/family_2024,78.0,,
seeing_heaven_2010,https://www.rottentomatoes.com/m/seeing_heaven_2011,,20.0,
phenomena_2023,https://www.rottentomatoes.com/m/phenomena_2023,50.0,62.0,
tarot_2024,https://www.rottentomatoes.com/m/tarot_2024,17.0,55.0,"Reshuffling well-worn tropes to dismaying effect, Tarot's fate is decidedly dour."
fubar_2018,https://www.rottentomatoes.com/m/killer_weekend_2018,,56.0,
static_2012,https://www.rottentomatoes.com/m/static_2012,,22.0,
cobweb_2023,https://www.rottentomatoes.com/m/cobweb_2023,58.0,71.0,This itsy bitsy horror film creeps and crawls.
abandoned_2022,https://www.rottentomatoes.com/m/abandoned_2022,17.0,16.0,Horror fans seeking effective frights will almost certainly feel Abandoned by this well-cast but deeply disappointing haunted house story.
the_helpers_2012,https://www.rottentomatoes.com/m/the_helpers_2012,,19.0,
the_awakening_2012,https://www.rottentomatoes.com/m/the_awakening_2011,64.0,51.0,"The Awakening never quite quickens the pulse the way it should, yet it remains a well-acted and handsomely assembled example of an old-fashioned supernatural thriller."
the_blob_1988,https://www.rottentomatoes.com/m/the_blob_1988,71.0,60.0,"The Blob can't replicate the B-movie charms of the original, though its fast pace and gory thrills pack enough of a punch to make it a worthwhile update."
the_witch_who_came_from_the_sea_1976,https://www.rottentomatoes.com/m/the_witch_who_came_from_the_sea_1976,82.0,37.0,
the_sacrifice_1986,https://www.rottentomatoes.com/m/the_sacrifice_1986,88.0,90.0,"Formally impressive, visually accomplished, and narratively rewarding, The Sacrifice places a fittingly solid capstone on a brilliant filmmaking career."
secret_santa_2018,https://www.rottentomatoes.com/m/secret_santa_2018,43.0,57.0,
the_sound_2017,https://www.rottentomatoes.com/m/the_sound_2017,25.0,16.0,
kill_keith_2011,https://www.rottentomatoes.com/m/kill_keith_2011,,36.0,
stitches_2012,https://www.rottentomatoes.com/m/stitches_2012,43.0,41.0,
dracula_2025,https://www.rottentomatoes.com/m/dracula_2025,68.0,,Radu Jude's Dracula puts its subject and audience to the test in this absurd experiment in creativity that just might suck the life out of everyone for better or for worse.
inside_2007,https://www.rottentomatoes.com/m/inside_2007,88.0,75.0,
monster_2018,https://www.rottentomatoes.com/m/monster_2021,68.0,67.0,"Monster would have benefited from a less heavy-handed approach, but Kelvin Harrison Jr.'s performance gives this timely drama emotional heft."
the_lost_2009,https://www.rottentomatoes.com/m/the-lost-2009,,49.0,
kristy_2014,https://www.rottentomatoes.com/m/kristy_2014,,43.0,
ghostlight_2013,https://www.rottentomatoes.com/m/ghostlight_2013,,43.0,
becky_2020,https://www.rottentomatoes.com/m/becky_2020,72.0,52.0,"Becky isn't quite able to sustain enough intensity to fully take advantage of its premise, though it serves up entertainingly nasty thrills for genre fans."
