tmdb_id,vote_average,vote_count,popularity
1221108,7.5,2,0.1943
633686,5.6,17,0.4093
845319,1.0,1,0.0766
51359,6.563,142,1.1568
140821,4.5,4,0.1507
266539,6.0,1,1.0817
843324,5.4,12,0.2274
732472,5.188,32,0.6337
434076,3.8,12,0.2891
898555,10.0,1,0.0286
589594,5.996,115,3.4442
1500166,8.0,2,0.2155
254427,5.5,6,0.7387
860458,3.7,3,0.3038
827144,7.0,1,0.4398
354485,4.8,4,0.5739
480007,5.7,94,0.5839
1543147,1.0,1,1.5064
18616,4.8,80,1.337
36903,4.4,17,0.1185
181390,4.1,9,0.2326
341833,2.0,3,0.236
392222,4.184,49,0.5161
45746,2.9,16,0.491
1340105,2.0,1,0.1996
98903,6.5,16,0.8797
289097,5.1,75,0.6626
338514,4.4,18,0.4402
723359,8.0,1,0.0071
1441734,4.7,5,0.2564
76635,1.0,8,0.2512
1267759,10.0,1,0.0071
428402,3.8,4,0.1098
1132996,1.0,1,0.0286
927771,7.0,1,0.2707
637890,6.5,33,0.2936
1082058,6.2,6,0.5893
1009663,4.2,6,0.3449
612901,7.5,2,0.2168
386298,5.0,1,0.2058
1023568,1.0,1,0.271
321695,7.2,3,0.4357
288684,1.8,5,0.779
1424783,8.0,1,0.0491
814686,2.5,1,0.3079
671712,6.0,5,0.0794
99008,2.6,34,0.4637
269602,7.1,21,0.203
312827,5.5,288,0.6999
58644,4.0,30,0.5019
977177,6.74,123,2.8229
37905,5.967,506,1.7432
792800,6.0,2,0.1424
704774,5.9,7,0.0552
492713,4.9,9,0.4121
809519,8.0,3,0.0362
27150,5.966,177,2.6145
139900,7.3,57,0.7634
264248,3.7,3,0.2006
85567,3.4,15,0.2193
51096,4.4,14,1.5392
756360,2.0,1,0.0071
264172,3.0,3,0.1149
940561,2.0,2,0.1704
749582,10.0,1,0.1187
422122,4.0,2,0.1292
742059,6.0,2,0.5827
600718,2.7,3,0.0143
127424,6.983,29,0.5612
965440,2.0,1,0.0143
416947,2.3,12,0.1497
638238,6.9,50,0.7179
754588,4.5,2,0.0612
97794,5.3,39,0.4605
291545,5.5,16,0.2853
329205,4.6,75,0.4977
1391253,10.0,1,0.1004
1382272,8.0,1,0.0831
1508265,8.0,1,0.0456
50394,4.3,9,0.4268
1197659,10.0,1,0.1151
842169,4.8,29,1.018
339342,5.049,61,0.5435
1256652,8.0,1,0.1021
1323273,7.0,1,0.0261
337045,6.1,14,0.8999
32652,6.4,148,1.7092
296496,2.5,2,0.0432
210179,2.0,1,0.2318
543901,3.6,4,0.0857
432434,4.7,3,0.2268
461724,5.0,1,0.1176
1244878,8.0,1,0.0518
778596,6.5,17,0.191
1432968,1.0,1,0.0968
226417,5.8,18,0.1129
755349,10.0,1,0.0143
132397,6.0,41,0.4186
120485,3.6,8,0.2852
1024800,4.0,2,0.0327
166952,5.2,5,0.1766
347097,5.0,38,0.4629
20216,4.8,20,1.4575
39704,5.2,80,0.9436
763743,3.0,2,0.224
171282,1.3,3,0.3621
556822,5.9,8,0.1089
809654,10.0,1,0.0839
22689,5.1,18,0.4146
1187417,4.921,107,1.4113
