tconst,tmdb_id,title,primaryTitle,genres,averageRating,numVotes
tt0001223,2929,Frankenstein,Frankenstein,,6.4,5323.0
tt0007111,362631,A Night of Horror,A Night of Horror,"Drama, Horror",5.6,32.0
tt0010565,555211,The Phantom Honeymoon,The Phantom Honeymoon,"Drama, Horror, Romance",6.0,38.0
tt0010961,623551,Anita,Anita,Horror,,
tt0011031,630560,The Hunchback and the Dancer,The Hunchback and the Dancer,Horror,6.1,91.0
tt0011234,276697,Go and Get It,Go and Get It,"Comedy, Drama, Horror",5.2,73.0
tt0012255,51359,The Haunted House,The Haunted House,,6.9,4039.0
tt0012526,855211,The Other Person,Onder spiritistischen dwang,"Fantasy, Mystery",,
tt0017103,29466,The Magician,The Magician,"Drama, Fantasy, Horror",6.8,947.0
tt0017438,27519,The Student of Prague,The Student of Prague,"Drama, Horror",6.9,884.0
tt0018097,64852,London After Midnight,London After Midnight,"Horror, Mystery, Thriller",6.7,1582.0
tt0019975,16591,Hell's Bells,Hell's Bells,,6.8,992.0
tt0020007,411617,The Hound of the Baskervilles,The Hound of the Baskervilles,"Crime, Horror, Mystery",6.4,415.0
tt0022028,28048,King of the Wild,King of the Wild,"Action, Adventure, Horror",5.5,151.0
tt0022103,156329,The Mad Genius,The Mad Genius,"Drama, Horror, Romance",6.3,868.0
tt0023640,28637,The Living Dead,The Living Dead,"Comedy, Horror, Sci-Fi",6.3,172.0
tt0023874,345078,The Haller Case,Il caso Haller,"Horror, Mystery, Thriller",5.7,18.0
tt0024266,248099,The Crying Woman,The Crying Woman,"Horror, Mystery",5.6,464.0
tt0025169,138017,The Ghost Walks,The Ghost Walks,"Comedy, Horror, Mystery",5.6,735.0
tt0026209,113241,"Chloe, Love Is Calling You","Chloe, Love Is Calling You",Drama,3.4,369.0
tt0026972,41118,Scrooge,Scrooge,"Drama, Family, Fantasy",6.4,3023.0
tt0029161,32428,Lonesome Ghosts,Lonesome Ghosts,,7.5,3904.0
tt0029339,72640,The Old Mill,The Old Mill,,7.7,5419.0
tt0031448,27118,The Hound of the Baskervilles,The Hound of the Baskervilles,"Crime, Mystery, Thriller",7.4,12892.0
tt0032049,28365,Tower of London,Tower of London,"Drama, History",6.6,2429.0
tt0032116,115923,We Want Our Mummy,We Want Our Mummy,,7.9,720.0
tt0032635,28421,The Invisible Man Returns,The Invisible Man Returns,"Drama, Horror, Mystery",6.4,6109.0
tt0033976,238341,Old Mother Riley's Ghosts,Old Mother Riley's Ghosts,"Comedy, Horror",5.3,108.0
tt0035017,54288,Carnival of Sinners,Carnival of Sinners,"Fantasy, Horror",7.3,2019.0
tt0036104,28438,The Leopard Man,The Leopard Man,"Film-Noir, Horror, Thriller",6.7,6547.0
tt0036731,35914,Cry of the Werewolf,Cry of the Werewolf,"Crime, Drama, Horror",5.4,1457.0
tt0036999,119168,The Lady and the Monster,The Lady and the Monster,"Horror, Sci-Fi, Thriller",5.7,604.0
tt0037826,38468,The Jade Mask,The Jade Mask,"Horror, Mystery",6.2,1431.0
tt0046066,23125,Mesa of Lost Women,Mesa of Lost Women,"Horror, Sci-Fi",2.7,2066.0
tt0046547,132269,White Witch Doctor,White Witch Doctor,"Action, Adventure, Drama",6.1,843.0
tt0046966,282942,The Phantom of the Red House,El fantasma de la casa roja,"Comedy, Horror, Mystery",5.1,86.0
tt0047245,337175,El monstruo en la sombra,El monstruo en la sombra,Horror,6.0,15.0
tt0048127,1679,Godzilla Raids Again,Godzilla Raids Again,"Action, Horror, Sci-Fi",5.7,9734.0
