url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
https://www.rottentomatoes.com/m/the-ceremony,,,
https://www.rottentomatoes.com/m/the_ceremony,,,
https://www.rottentomatoes.com/m/bloody_hell,91,80,"For genre fans in the mood to watch some darkly funny mayhem,Bloody Helllives up to its title in all the best ways."
https://www.rottentomatoes.com/m/cabin_girl,,,
https://www.rottentomatoes.com/m/lips_of_blood,,40,
https://www.rottentomatoes.com/m/darkness_binds,,,
https://www.rottentomatoes.com/m/killer_party,,36,
https://www.rottentomatoes.com/m/zombiecon_vol_1,85,,
https://www.rottentomatoes.com/m/a_hard_place,,,
https://www.rottentomatoes.com/m/the-lost,83,62,
https://www.rottentomatoes.com/m/saint_drogo,,,
https://www.rottentomatoes.com/m/lady_beware,,48,
https://www.rottentomatoes.com/m/succubus,,54,
https://www.rottentomatoes.com/m/twilight_time,,,
https://www.rottentomatoes.com/m/the_bones,,,
https://www.rottentomatoes.com/m/sleepwalker,,45,
https://www.rottentomatoes.com/m/prey,,,
https://www.rottentomatoes.com/m/autopsy_of_a_ghost,,,
https://www.rottentomatoes.com/m/out-of-darkness,,94,
https://www.rottentomatoes.com/m/vultures,,,
https://www.rottentomatoes.com/m/zero,,,
https://www.rottentomatoes.com/m/the_mummy,64,75,"It's difficult to make a persuasive argument forThe Mummyas any kind of meaningful cinematic achievement, but it's undeniably fun to watch."
https://www.rottentomatoes.com/m/the_lake_vampire,,,
https://www.rottentomatoes.com/m/three_dead_cowboys,,,
https://www.rottentomatoes.com/m/lock,,,
https://www.rottentomatoes.com/m/leni,,,
https://www.rottentomatoes.com/m/tales-of-the-dead,,,
https://www.rottentomatoes.com/m/vision,,,
https://www.rottentomatoes.com/m/the-farm,,,
https://www.rottentomatoes.com/m/banyo_queen,,,
https://www.rottentomatoes.com/m/revenge_in_the_house_of_usher,,20,
https://www.rottentomatoes.com/m/supervenus,,,
https://www.rottentomatoes.com/m/the_intruder_within,,18,
https://www.rottentomatoes.com/m/infinite,17,34,"An initially intriguing sci-fi thriller that quickly veers into incoherence,Infiniteis as inane as it is inconsequential."
https://www.rottentomatoes.com/m/i_adonis,,,
https://www.rottentomatoes.com/m/believe_me_or_not,,,
