url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus,year,title
https://www.rottentomatoes.com/m/viral_2016,56,29,,2016,Viral
https://www.rottentomatoes.com/m/president_wolfman_2012,,,,2012,President Wolfman
https://www.rottentomatoes.com/m/crush_2009,,,,2009,Crush
https://www.rottentomatoes.com/m/serpent_2017,,33,,2017,Serpent
https://www.rottentomatoes.com/m/savage_2011,,,,2011,Savage
https://www.rottentomatoes.com/m/haunted_2017,,,,2017,Haunted
https://www.rottentomatoes.com/m/slasher_2014,,,,2014,Slasher
https://www.rottentomatoes.com/m/black_2024,,,,2024,Black
https://www.rottentomatoes.com/m/good_night_2013,,50,,2013,Good Night
https://www.rottentomatoes.com/m/post_mortem_2020,89,50,,2020,Post Mortem
https://www.rottentomatoes.com/m/light_2024,,22,,2024,Light
https://www.rottentomatoes.com/m/the_nest_2025,,,,2025,The Nest
https://www.rottentomatoes.com/m/a_thousand_and_one_nights_1969,,,,1969,A Thousand & One Nights
https://www.rottentomatoes.com/m/ice_cream_2014,,,,2014,Ice Cream
https://www.rottentomatoes.com/m/the_movie_2022,40,83,,2022,The Movie
https://www.rottentomatoes.com/m/the_house_2023,,,,2023,The House
https://www.rottentomatoes.com/m/rise_of_the_zombies_2012,,15,,2012,Rise of the Zombies
https://www.rottentomatoes.com/m/restless_2024,94,,,2024,Restless
https://www.rottentomatoes.com/m/condemned_2015,25,28,,2015,Condemned
https://www.rottentomatoes.com/m/vision_2018,38,36,,2018,Vision
https://www.rottentomatoes.com/m/lilith_2018,,,,2018,Lilith
https://www.rottentomatoes.com/m/the_stranger_2022,92,74,"A masterful blend of genre elements, The Stranger brings a tautly told mystery to life with simmering tension and a pair of outstanding lead performances.",2022,The Stranger
https://www.rottentomatoes.com/m/wraith_2017,,29,,2017,Wraith
https://www.rottentomatoes.com/m/reflection_2024,,,,2024,Reflection
https://www.rottentomatoes.com/m/suspiria_2018,65,72,"Suspiria attacks heady themes with garish vigor, offering a viewing experience that's daringly confrontational - and definitely not for everyone.",2018,Suspiria
https://www.rottentomatoes.com/m/dead_again_in_tombstone_2017,,31,,2017,Dead Again in Tombstone
https://www.rottentomatoes.com/m/splinter_2022,,,,2021,Splinter
https://www.rottentomatoes.com/m/stigma_1977,,,,1977,Stigma
https://www.rottentomatoes.com/m/pledge_2019,76,63,"Pledge leaves a certain amount of potential untapped in its extreme take on collegiate hazing, but the end result is still well-executed enough to be worth a watch.",2019,Pledge
https://www.rottentomatoes.com/m/nightmare_2025,,,,2025,Nightmare
https://www.rottentomatoes.com/m/the_bride_2025,,,,2025,The Bride
https://www.rottentomatoes.com/m/psychopaths_2017,24,19,,2017,Psychopaths
https://www.rottentomatoes.com/m/end_trip_2018,,,,2018,End Trip
https://www.rottentomatoes.com/m/dont_sleep_2017,10,23,,2017,Don't Sleep
https://www.rottentomatoes.com/m/the_clearing_2020,,44,,2020,The Clearing
https://www.rottentomatoes.com/m/my_valentine_2020,,33,,2020,Into the Dark: My Valentine
https://www.rottentomatoes.com/m/deep_water_2026,,,,,Deep Water
https://www.rottentomatoes.com/m/the_dinner_party_2020,43,73,,2021,The Dinner Party
https://www.rottentomatoes.com/m/livescream_2022,,,,2022,Livescream
https://www.rottentomatoes.com/m/sisters_2021,,,,2021,Sisters
https://www.rottentomatoes.com/m/unfinished_business_2023,,,,2023,Unfinished Business
https://www.rottentomatoes.com/m/snowbound_2017,,12,,2017,Snowbound
https://www.rottentomatoes.com/m/echo_2025,,,,2025,Echo
https://www.rottentomatoes.com/m/mother_2016,,,,2016,Mother
https://www.rottentomatoes.com/m/the_exchange_2021,65,71,,2021,The Exchange
https://www.rottentomatoes.com/m/the_closet_2020,89,57,,2020,The Closet
https://www.rottentomatoes.com/m/sins_of_the_father-2004,,,,2004,Sins of the Father
