tconst,title,tmdb_id,primaryTitle,genres,averageRating,numVotes
tt0001223,Frankenstein,2929,,,6.4,5323.0
tt0007111,A Night of Horror,362631,A Night of Horror,"Drama,Horror",5.6,32.0
tt0010565,The Phantom Honeymoon,555211,The Phantom Honeymoon,"Drama,Horror,Romance",6.0,38.0
tt0010961,Anita,623551,Anita,Horror,,
tt0011031,The Hunchback and the Dancer,630560,The Hunchback and the Dancer,Horror,6.1,91.0
tt0011234,Go and Get It,276697,Go and Get It,"Comedy,Drama,Horror",5.2,73.0
tt0012255,The Haunted House,51359,,,6.9,4039.0
tt0012526,The Other Person,855211,Onder spiritistischen dwang,"Fantasy,Mystery",,
tt0017103,The Magician,29466,The Magician,"Drama,Fantasy,Horror",6.8,947.0
tt0017438,The Student of Prague,27519,The Student of Prague,"Drama,Horror",6.9,884.0
tt0018097,London After Midnight,64852,London After Midnight,"Horror,Mystery,Thriller",6.7,1582.0
tt0019975,Hell's Bells,16591,,,6.8,992.0
tt0020007,The Hound of the Baskervilles,411617,The Hound of the Baskervilles,"Crime,Horror,Mystery",6.4,415.0
tt0022028,King of the Wild,28048,King of the Wild,"Action,Adventure,Horror",5.5,151.0
tt0022103,The Mad Genius,156329,The Mad Genius,"Drama,Horror,Romance",6.3,868.0
tt0023640,The Living Dead,28637,The Living Dead,"Comedy,Horror,Sci-Fi",6.3,172.0
tt0023874,The Haller Case,345078,Il caso Haller,"Horror,Mystery,Thriller",5.7,18.0
tt0024266,The Crying Woman,248099,The Crying Woman,"Horror,Mystery",5.6,464.0
tt0025169,The Ghost Walks,138017,The Ghost Walks,"Comedy,Horror,Mystery",5.6,735.0
tt0026209,"Chloe, Love Is Calling You",113241,"Chloe, Love Is Calling You",Drama,3.4,369.0
tt0026972,Scrooge,41118,Scrooge,"Drama,Family,Fantasy",6.4,3023.0
tt0029161,Lonesome Ghosts,32428,,,7.5,3904.0
tt0029339,The Old Mill,72640,,,7.7,5419.0
tt0031448,The Hound of the Baskervilles,27118,The Hound of the Baskervilles,"Crime,Mystery,Thriller",7.4,12892.0
